"NU_INSCRICAO","NU_IDADE","TP_SEXO","TP_ST_CONCLUSAO","TP_ANO_CONCLUIU","IN_TREINEIRO","IN_BAIXA_VISAO","IN_CEGUEIRA","IN_SURDEZ","IN_DEFICIENCIA_AUDITIVA","IN_SURDO_CEGUEIRA","IN_DEFICIENCIA_FISICA","IN_DEFICIENCIA_MENTAL","IN_DEFICIT_ATENCAO","IN_DISLEXIA","IN_DISCALCULIA","IN_AUTISMO","IN_VISAO_MONOCULAR","IN_OUTRA_DEF","TP_PRESENCA_CN","TP_PRESENCA_CH","TP_PRESENCA_LC","TP_PRESENCA_MT","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","TP_LINGUA","TP_STATUS_REDACAO","NU_NOTA_REDACAO","CO_ESCOLA"
180013941524,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,402.5,483.2,389,499,0,1,320,35024168
180013068966,17,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,453.5,680.8,590.1,583.4,1,1,480,15165930
180013941526,19,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,578,439.6,421.1,447.3,0,1,340,17005264
180013944152,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,408.2,459.5,492.5,496.7,0,1,320,15577791
180013429608,19,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,436,520.3,338,428.3,0,1,440,31171646
180013908363,20,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,420.4,497.2,497,538.9,0,1,360,31259551
180013955272,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,553.3,655.8,628.1,565.7,0,1,540,35049451
180013669273,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,397.2,488.2,500.7,457.9,1,1,420,26053845
180013459486,17,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,437.7,592.7,562.6,445.7,0,1,340,33009694
180013918979,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,591.6,654.8,613.1,709.1,0,1,600,35906542
180013941531,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,468.4,397.3,494.8,468.3,1,1,300,50020838
180013946955,24,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,440.7,400.2,450.4,476.9,1,1,280,33145199
180013818898,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,404.5,440.2,420.7,385.1,1,1,340,25064894
180013941532,17,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,544,452.3,459.7,419.8,0,1,440,35924313
180013953521,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,464.1,548.2,511.8,438.3,1,1,320,16005341
180013958528,19,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,524.2,601.9,485.9,439.5,0,1,320,24048208
180013957808,17,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,416.6,556.9,454.5,403.4,1,1,340,21404208
180013941535,19,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,447.3,590.3,504.6,401.7,1,1,560,43157734
180013441682,20,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,524.8,566.9,541.1,470.4,1,1,360,35010613
180013900803,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,443,500.1,419.6,521.6,0,1,480,31001716
180013839494,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,583.4,614.9,563.5,663.9,1,1,500,43159095
180013943270,17,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,488.5,436.6,508.1,461.9,0,1,340,33126216
180013441689,19,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,401.1,468.2,492,524,0,1,280,29093333
180013941933,17,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,395.3,501.1,545.9,440.2,1,1,500,50000187
180013959849,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,474,616.1,566.7,580.2,0,1,540,35257205
180013751373,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,398.9,425.7,423.4,469.9,0,8,0,31002585
180013068044,20,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,588.7,609.9,597.7,729.1,0,1,720,31245488
180013734728,17,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,494.4,516.6,540.8,494.3,0,1,460,35002513
180013919667,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,376.8,459.8,548.2,605.3,0,1,380,29034922
180013584526,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,495.5,571.9,461.4,453.4,0,1,500,42048230
180013979297,16,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,536.7,645.4,538.1,506.5,0,1,720,51094061
180013935075,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,424.2,458.6,450.7,488.9,1,1,340,41044061
180013900808,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,391.8,590.2,479,486.6,0,1,620,41031407
180012417145,39,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,389,455.3,421.9,436.9,1,1,300,33240213
180013601537,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,594,665.5,590.8,694.9,0,1,540,33124361
180013900809,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,471.3,531.1,544.1,453.9,0,1,500,41130405
180013953535,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,448.1,569.8,517.6,607.5,0,1,680,43139361
180013959850,19,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,398.1,575.4,451.5,422.1,1,1,300,11026197
180013909162,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,448.8,554,527.6,568.6,0,1,540,35907182
180013941935,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,454.1,552.9,509.3,536.1,0,1,680,31080535
180013936411,20,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,394.7,402.4,435.3,397,0,1,320,50032089
180013937600,20,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,562.8,454.3,523,647.9,1,1,520,43146368
180013989758,16,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,421.9,600.4,522.5,440,0,1,640,52088499
180013430662,22,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,503.4,426.6,397.5,675,0,1,460,31108863
180013821428,19,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,616.6,660.9,613,598.6,0,1,640,27047580
180013941339,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,478.7,423.2,491.4,485.6,1,1,320,32036582
180013961321,16,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,464.9,577.3,567.8,539.6,0,1,660,41132599
180013907003,16,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,450,455.5,515.9,478,1,1,540,52101380
180013068991,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,396.6,590.3,395.7,460.2,0,1,520,33037027
180013956656,24,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,502.7,572.1,525.9,496.2,0,1,520,51066025
180013955291,19,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,568.1,608.2,577.3,657.8,0,1,360,41135938
180013068061,19,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,397.7,517.1,419.1,535.1,1,1,560,21021058
180013757025,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,474.1,623,556.7,521.7,1,1,660,42052050
180013821430,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,454.6,500,372.5,399.4,1,1,360,29126126
180013958657,21,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,469.5,433.7,397.4,402.9,1,1,540,52031926
180013950430,18,"F",2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,410,498.1,418.4,391.6,0,1,320,29334551
180013959859,17,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,429.5,481.9,566.2,507.8,0,1,400,24097403
180013961334,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,449.1,421,444.1,384,1,1,280,24045802
180013620326,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,510.2,634.5,550.4,498,0,1,580,35017942
180013584321,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,540.6,641.7,590.3,561.2,1,1,860,33027820
180013950432,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,440.6,426.2,405.3,590.5,1,1,800,11000880
180013918994,19,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,470.1,614.7,531.4,568.6,0,1,420,41134605
180013918280,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,425,415.8,531.4,452.1,0,4,0,35022937
180013757027,17,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,632.3,662,596.9,588.7,0,1,480,35901097
180013949186,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,414.2,512.9,547.6,580.6,1,1,500,52075311
180013950436,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,468.7,615.8,598.8,440.4,1,1,660,41088786
180013961339,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,435.5,557.4,480.8,544.4,1,1,320,35016445
180013935088,19,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,550.1,474.9,508.6,526,1,1,300,35221582
180013938746,17,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,518.6,577.4,549.3,449.6,1,1,640,35907085
180013935089,19,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,423,483.1,439.9,388.7,0,1,400,43105815
180013950441,17,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,496,639.2,583.8,524.4,0,1,640,24071641
180013972085,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,478.4,525.1,526.1,449,1,1,260,35039834
180013963853,20,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,383.3,435.7,431.4,474.6,1,1,400,15068390
180013950448,16,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,535,634.4,561.3,742.8,0,1,500,43162690
180013918282,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,427.7,404.5,382.2,427.7,0,1,300,35010728
180013752796,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,531,490.7,537.5,529.4,0,1,520,50006100
180013756640,19,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,395.7,576.5,442.8,421,0,6,0,35037060
180013444743,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,462.4,558.9,493.1,482.8,0,1,520,33054185
180013957039,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,517.6,487.8,553.7,502.6,0,1,540,31002313
180013941557,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,442,533.4,487.5,470,1,1,360,35908836
180012417159,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,535.2,489.9,397.4,455.9,0,1,400,31081388
180013620342,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,401.2,588.6,470.7,378.4,1,1,600,12031674
180013964865,17,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,402.6,546.1,517.4,537.5,0,1,520,35044441
180013964863,21,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,483,503.4,429.8,421.3,0,1,540,11013389
180013934008,20,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,425.6,396.9,514.2,550.1,1,1,320,41003330
180013757035,19,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,440.9,399.1,571.7,446.1,1,1,580,43057098
180013938450,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,447,450.7,456.5,454.3,0,1,480,29000971
180013938299,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,434.9,419.1,450.9,397.2,1,1,200,35028745
180013982623,17,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,465.6,622.5,598.7,467.7,0,1,520,35043936
180013945319,44,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,408.6,508.2,381.1,391.4,1,4,0,35127991
180013444763,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,455.3,602.7,481.5,630.3,1,1,380,23025530
180013840371,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,398.2,478.1,423.9,519.9,1,1,520,31069507
180013957047,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,386.1,495.8,533.3,637.3,1,1,520,29191343
180013963865,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,544.2,592.3,454.5,541.6,0,1,600,15160645
180013964883,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,454.1,557.5,439.3,547.4,0,1,500,42025710
180013620354,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,425.6,557.9,585.2,574.9,0,1,440,23258748
180012417165,61,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,453.4,572.5,466.8,384.4,1,1,360,15588947
180013068084,17,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,481.4,543.1,458.3,374.8,1,1,540,35904879
180013963370,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,390.3,471.6,332.6,483.3,1,1,240,15169049
180013964890,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,512.2,623.7,545.7,588.3,1,1,560,31005371
180013955315,19,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,416.6,516,519.6,390.6,0,1,600,35903991
180013975464,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,389.6,550.7,555.7,672,0,1,540,33079374
180013734747,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,454.6,458.7,535.2,511.5,0,1,300,33106711
180013938304,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,611.7,725.8,628.1,585.8,0,1,620,35324462
180013651314,17,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,442,570.8,596.1,439.9,1,1,540,50000179
180013821446,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,548.3,633.7,543.7,404.2,0,1,600,43043275
180013963979,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,496.7,528.3,574.1,602.6,0,1,660,42016126
180013964897,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,648.5,660.8,632.1,706.7,0,1,660,35020643
180013584338,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,424.1,460.6,456.3,548.3,0,1,460,35921312
180013963374,17,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,589.1,484.4,564.3,524,1,1,600,35119660
180013821448,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,472,573.2,474.4,533.7,1,1,240,43156371
180013447741,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,418.9,467.4,495,523.4,0,1,360,35916110
180013820804,17,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,458.9,530.4,543.2,407.8,1,1,660,35041348
180013841486,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,561.6,631,435,491.3,0,1,360,33067228
180013942111,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,637.3,671.9,597.9,784.8,0,1,680,33063222
180013460837,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,400.7,507.2,437.2,418.2,1,1,500,32010710
180013821450,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,390.1,515.2,496.8,385.2,1,1,320,24058246
180013623602,20,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,462.5,469,565.5,615.7,1,1,540,29158419
180013957460,19,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,450.5,563.1,443.1,447.2,0,1,280,43108903
